id,zh_cn,vi_vn,char_len,utf8_len,occurrences
JAVA_ZH_0001,上方向键,Phím Lên,4,12,a.java:255
JAVA_ZH_0002,下方向键,Phím Xuống,4,12,a.java:257
JAVA_ZH_0003,左方向键,Phím Trái,4,12,a.java:259
JAVA_ZH_0004,右方向键,Phím Phải,4,12,a.java:261
JAVA_ZH_0005,数字键0,Phím số 0,4,10,a.java:263
JAVA_ZH_0006,数字键1,Phím số 1,4,10,a.java:265
JAVA_ZH_0007,数字键3,Phím số 3,4,10,a.java:267
JAVA_ZH_0008,数字键5,Phím số 5,4,10,a.java:270
JAVA_ZH_0009,数字键7,Phím số 7,4,10,a.java:272
JAVA_ZH_0010,数字键9,Phím số 9,4,10,a.java:274
JAVA_ZH_0011, * 键,Phím *,4,6,a.java:276
JAVA_ZH_0012, # 键,Phím #,4,6,a.java:278
JAVA_ZH_0013,左软键,Phím mềm trái,3,9,a.java:280
JAVA_ZH_0014,右软键,Phím mềm phải,3,9,a.java:282
JAVA_ZH_0015,获得称号: ,获得Danh hiệu:,6,14,aa.java:447; aa.java:455; aa.java:463; aa.java:881; aa.java:888; aa.java:895; aa.java:902; aa.java:908; aa.java:1021; aa.java:1030; d.java:767; d.java:1047; d.java:1303; d.java:2517; v.java:276; v.java:291; w.java:32
JAVA_ZH_0016,怒气不足,,4,12,aa.java:545; aa.java:1176; aa.java:1500
JAVA_ZH_0017,升至,,2,6,aa.java:867
JAVA_ZH_0018,级,,1,3,aa.java:867
JAVA_ZH_0019,请按,,2,6,aa.java:1133
JAVA_ZH_0020,确定,Đồng ý,2,6,aa.java:1133; ad.java:739; av.java:1158; d.java:804; d.java:812; d.java:816; d.java:820; d.java:1113; d.java:1116; d.java:1118; d.java:1123; d.java:1126; d.java:1629; d.java:1638; d.java:1642; d.java:1647; d.java:1655; d.java:1659; d.java:1668; d.java:1676; d.java:1680; d.java:1685; d.java:1694; d.java:1703; d.java:1712; d.java:1718; d.java:1722; d.java:1871; d.java:1900; d.java:2068; d.java:2076; d.java:2082; d.java:2278; d.java:2283; d.java:2550; d.java:2557; d.java:2561; d.java:2647; d.java:2653; d.java:2801; d.java:2805; d.java:3191; d.java:3218; g.java:104
JAVA_ZH_0021,当前地图不能攻击,,8,24,aa.java:1461
JAVA_ZH_0022,技能未就绪,,5,15,aa.java:1494
JAVA_ZH_0023,魔法不足,,4,12,aa.java:1507
JAVA_ZH_0024,无敌效果结束,,6,18,aa.java:1778
JAVA_ZH_0025,道,,1,3,ad.java:10
JAVA_ZH_0026,继续游戏,Tiếp tục,4,12,ad.java:59; av.java:82
JAVA_ZH_0027,帮助,Trợ giúp,2,6,ad.java:59; ad.java:165; ae.java:18; av.java:82; d.java:54
JAVA_ZH_0028,返回主菜单,Menu chính,5,15,ad.java:59; d.java:54
JAVA_ZH_0029,关于,Giới thiệu,2,6,ad.java:169; ae.java:18; av.java:82
JAVA_ZH_0030,游戏已暂停,Tạm dừng game,5,15,ad.java:323
JAVA_ZH_0031,按右软键继续,Phím phải để tiếp tục,6,18,ad.java:324
JAVA_ZH_0032,返回,Trở về,2,6,ad.java:474; ad.java:738; av.java:1158; av.java:1201; av.java:1263; d.java:1841
JAVA_ZH_0033,你确定访问游戏频道,Bạn muốn truy cập kênh game,9,27,ad.java:639
JAVA_ZH_0034,并退出游戏?,và thoát game?,6,16,ad.java:640
JAVA_ZH_0035,否,Không,1,3,ad.java:642; ad.java:705; ad.java:796; av.java:1030; d.java:3245
JAVA_ZH_0036,是,Có,1,3,ad.java:644; ad.java:703; ad.java:795; av.java:1029; d.java:3245
JAVA_ZH_0037,更多精彩游戏,Nhiều game hay hơn,6,18,ad.java:664
JAVA_ZH_0038,尽在游戏频道,tại kênh game xjoys,6,18,ad.java:665
JAVA_ZH_0039,确认,Đồng ý,2,6,ad.java:668; av.java:1193; d.java:3012; d.java:3195; d.java:3220
JAVA_ZH_0040,退出,Thoát,2,6,ad.java:670; av.java:82
JAVA_ZH_0041,确认退出,Xác nhận thoát,4,12,ad.java:701
JAVA_ZH_0042,是否返回主菜单,Trở về menu chính?,7,21,ad.java:794
JAVA_ZH_0043,宽,,1,3,ae.java:10
JAVA_ZH_0044,初入江湖,Game mới,4,12,ae.java:18
JAVA_ZH_0045,再征沙场,Chơi tiếp,4,12,ae.java:18
JAVA_ZH_0046,卸甲归田,Thoát game,4,12,ae.java:18
JAVA_ZH_0047,支付密码,,4,12,af.java:428
JAVA_ZH_0048,折,,1,3,af.java:487
JAVA_ZH_0049, U点,U-Điểm,3,5,af.java:490; af.java:861; af.java:862
JAVA_ZH_0050,优视科技 版权所有,,9,25,af.java:506; af.java:541; af.java:580; af.java:1541
JAVA_ZH_0051,正在初始化数据，请稍等,,11,33,af.java:682
JAVA_ZH_0052,(发送短信：,,6,16,af.java:820
JAVA_ZH_0053,条),,2,4,af.java:820
JAVA_ZH_0054,获取短信数据失败，请改用其他手段支付,,18,54,af.java:939; af.java:945; af.java:955
JAVA_ZH_0055,对不起，您所在的地区没有开通短信付费通道，请使用U点进行支付！,,31,91,af.java:951
JAVA_ZH_0056,获取短信数据失败,,8,24,af.java:961
JAVA_ZH_0057,获取U点支付信息失败！,,11,31,af.java:1014; af.java:1020; af.java:1027; af.java:1051; af.java:1058
JAVA_ZH_0058,无折扣,,3,9,af.java:1042
JAVA_ZH_0059,错误：您输入的账号密码中含有非法字符，请检查！,,23,69,af.java:1761
JAVA_ZH_0060,错误：请输入由数字组成的账号/手机号。,,19,55,af.java:1764
JAVA_ZH_0061,错误：支付密码中含有非法字符，请检查！,,19,57,af.java:1774
JAVA_ZH_0062,网络繁忙，连接失败，本次支付不成功，请返回尝试重新支付。,,28,84,af.java:1794; af.java:1910
JAVA_ZH_0063,您的账号或密码错误，请重新输入。,,16,48,af.java:1798
JAVA_ZH_0064,系统错误，支付失败，U点未被扣除，请重试或更换其他支付方式！,,30,88,af.java:1802
JAVA_ZH_0065,您的账户余额不足，无法完成本次支付，请用UC浏览器登录UC充值中心(pay.uc.cn)为U点账户充值。,,52,124,af.java:1807
JAVA_ZH_0066,支付失败，原因：,,8,24,af.java:1812; af.java:1820
JAVA_ZH_0067,正在重试联网...,,9,21,af.java:1894
JAVA_ZH_0068,元,,1,3,af.java:2201
JAVA_ZH_0069,获取短信数据失败，请改用U点支付,,16,46,af.java:2429; af.java:2434
JAVA_ZH_0070,消费金额填写不正确！,,10,30,af.java:2572
JAVA_ZH_0071,完成: ,,4,8,ai.java:409
JAVA_ZH_0072,接到: ,,4,8,ai.java:441
JAVA_ZH_0073,>>设置标志：roleID=,,14,24,ai.java:1419
JAVA_ZH_0074,>>角色重生：roleID=,,14,24,ai.java:1429
JAVA_ZH_0075,>>屏幕控制：type=,,12,22,ai.java:1434
JAVA_ZH_0076,>>屏幕移至某点：x=,,11,25,ai.java:1460
JAVA_ZH_0077,>>跟随对象：roleID=,,14,24,ai.java:1469
JAVA_ZH_0078,>>镜头移至角色：roleID=,,16,30,ai.java:1483
JAVA_ZH_0079,>>执行延时：pauseTime=,,17,27,ai.java:1492
JAVA_ZH_0080,获得,,2,6,ai.java:1736; ai.java:1750
JAVA_ZH_0081,绘制CG时dlgShowType选项不对,,20,34,ai.java:1957
JAVA_ZH_0082,离开,,2,6,ai.java:2076
JAVA_ZH_0083,购买材料,,4,12,ai.java:2079
JAVA_ZH_0084,强化装备,强化Trang bị,4,12,ai.java:2085
JAVA_ZH_0085,跳过,,2,6,ai.java:2410
JAVA_ZH_0086,你看到我说明掉落物品类型出问题了:),,18,50,an.java:48
JAVA_ZH_0087,金,,1,3,an.java:163; c.java:128
JAVA_ZH_0088,保存密码？,Lưu mật khẩu?,5,15,as.java:1508
JAVA_ZH_0089,按“确定”键返回。,Nhấn “Đồng ý” để trở về.,9,27,as.java:1605
JAVA_ZH_0090,新游戏,,3,9,av.java:82
JAVA_ZH_0091,更多游戏,,4,12,av.java:82
JAVA_ZH_0092,音乐,,2,6,av.java:82
JAVA_ZH_0093,支线任务是重要的金钱来源,,12,36,av.java:172
JAVA_ZH_0094,铁匠铺可以升级装备，打造任务物品,铁匠铺可以升级Trang bị，打造任务物品,16,48,av.java:172
JAVA_ZH_0095,生命之水可以让你重生。,,11,33,av.java:172
JAVA_ZH_0096,关卡有难度选择，难度越高收益越多,,16,48,av.java:172
JAVA_ZH_0097,关掉音乐可以更加流畅,,10,30,av.java:172
JAVA_ZH_0098,技能可在技能栏里升级。,,11,33,av.java:172
JAVA_ZH_0099,升级获得技能点，用来升级技能可以大幅增加战斗力,,23,69,av.java:172
JAVA_ZH_0100,<游戏简介>&二十四年前，我促成了科勒斯和她的神话，而我到底是谁，前世今身，奈何桥下，二十四年后的我用我的故事讲述了另一个我记忆中的科勒斯和爱伦的故事。而我，依然是那个剑士。&&<主菜单操作>&方向键左/数字键4:&向左移动；&方向键右/数字键6:&向右移动；&方向键上/数字键2:&向上移动；&方向键下/数字键8:&向下移动；&双击方向键左/数字键4:&向左冲刺；&双击方向键右/数字键6:&向右冲刺；&双击方向键上/数字键2:&向上冲刺；&双击方向键下/数字键8:&向下冲刺；&数字键1:技能1；&数字键3:技能2；&数字键5:攻击/对话；&数字键7:技能3；&数字键9：技能4（需用技能点升级后才能使用）；提示：0键格挡成功后，按5键可以发动一闪，使用得当，可以无伤通关&*键：血药；&#键：蓝药；&左软键:确定/游戏菜单；&右软键:取消/返回/任务菜单；&,,382,986,av.java:228; d.java:1823
JAVA_ZH_0101,非法操作->>,,7,15,av.java:275
JAVA_ZH_0102,是否开启声音?,,7,19,av.java:1028
JAVA_ZH_0103,是否确定退出游戏？,,9,27,av.java:1158
JAVA_ZH_0104,没有有效的存档！,,8,24,av.java:1193
JAVA_ZH_0105,音乐|,,3,7,av.java:1238; av.java:1254
JAVA_ZH_0106,开,,1,3,av.java:1238; av.java:1254
JAVA_ZH_0107,关,,1,3,av.java:1238; av.java:1254
JAVA_ZH_0108,切换,Chuyển đổi,2,6,av.java:1263
JAVA_ZH_0109,友情提示,,4,12,av.java:1344
JAVA_ZH_0110,游戏暂停,,4,12,av.java:1368
JAVA_ZH_0111,请按导航键中键或按5键返回游戏,,15,43,av.java:1369
JAVA_ZH_0112,请按“*”键使用,,8,22,av.java:1620
JAVA_ZH_0113,生命之水,Nước sự sống,4,12,av.java:1621; m.java:9
JAVA_ZH_0114,生命之水不足,,6,18,av.java:1623
JAVA_ZH_0115,请按“*”键前往商店购买,,12,34,av.java:1625
JAVA_ZH_0116,按#键返回主菜单,,8,22,av.java:1639
JAVA_ZH_0117,恭喜通关！,,5,15,av.java:1653
JAVA_ZH_0118,议会厅,,3,9,av.java:2613
JAVA_ZH_0119,墓地,,2,6,av.java:2613
JAVA_ZH_0120,拉斯特城,,4,12,av.java:2613
JAVA_ZH_0121,城外,,2,6,av.java:2613
JAVA_ZH_0122,拉斯特森林,,5,15,av.java:2613
JAVA_ZH_0123,邪恶洞穴,,4,12,av.java:2613
JAVA_ZH_0124,地牢入口,,4,12,av.java:2613
JAVA_ZH_0125,地牢二层,,4,12,av.java:2613
JAVA_ZH_0126,拉斯特沼泽,,5,15,av.java:2613
JAVA_ZH_0127,圣尔兰,,3,9,av.java:2613
JAVA_ZH_0128,地牢三层,,4,12,av.java:2613
JAVA_ZH_0129,囚禁室,,3,9,av.java:2613
JAVA_ZH_0130,底层宫殿入口,,6,18,av.java:2613
JAVA_ZH_0131,底层宫殿,,4,12,av.java:2613
JAVA_ZH_0132,寒风撩乱发,,5,15,av.java:2717
JAVA_ZH_0133,冷星照薄裳,,5,15,av.java:2717
JAVA_ZH_0134,挥袖乘风去,,5,15,av.java:2717
JAVA_ZH_0135,空留满地霜,,5,15,av.java:2717
JAVA_ZH_0136,动画状态列表出界！baseInfo[INFO_OBJ_STATE] = ,,36,54,b.java:35; v.java:109
JAVA_ZH_0137,属性,,2,6,d.java:19
JAVA_ZH_0138,背包,,2,6,d.java:19
JAVA_ZH_0139,装备,Trang bị,2,6,d.java:19; t.java:356
JAVA_ZH_0140,技能,,2,6,d.java:19
JAVA_ZH_0141,任务,,2,6,d.java:19
JAVA_ZH_0142,称号,Danh hiệu,2,6,d.java:19; t.java:356
JAVA_ZH_0143,系统,,2,6,d.java:19
JAVA_ZH_0144,声音,,2,6,d.java:54
JAVA_ZH_0145,保存,,2,6,d.java:54
JAVA_ZH_0146,提交任务: ,,6,14,d.java:601
JAVA_ZH_0147,获得奖励: 金钱x1000,,13,25,d.java:606
JAVA_ZH_0148,获得奖励: 技能书x1,,11,25,d.java:611
JAVA_ZH_0149,获得奖励: 金钱x2000,,13,25,d.java:616
JAVA_ZH_0150,获得奖励: 技能书x2,,11,25,d.java:621
JAVA_ZH_0151,获得奖励: 金钱x3000,,13,25,d.java:626
JAVA_ZH_0152,获得奖励: 金钱x4000,,13,25,d.java:630
JAVA_ZH_0153,获得奖励: 彩虹之心x1,获得奖励: Trái Tim Cầu Vồngx1,12,28,d.java:633
JAVA_ZH_0154,已经接受该任务,,7,21,d.java:804
JAVA_ZH_0155,该任务已经完成,,7,21,d.java:812
JAVA_ZH_0156,支线任务最多接3个,,9,25,d.java:816
JAVA_ZH_0157,接受任务？,,5,15,d.java:820
JAVA_ZH_0158,取消,Hủy,2,6,d.java:820; d.java:1113; d.java:1123; d.java:1900; d.java:2076; d.java:2278; d.java:2653; d.java:2801
JAVA_ZH_0159,已经完成,,4,12,d.java:879
JAVA_ZH_0160,选择游戏难度：,,7,21,d.java:949
JAVA_ZH_0161,确认购买,,4,12,d.java:1113; d.java:1123
JAVA_ZH_0162,没有存货,,4,12,d.java:1116
JAVA_ZH_0163,现金不足,,4,12,d.java:1118; d.java:1126
JAVA_ZH_0164,已经售完,,4,12,d.java:1165; d.java:1167
JAVA_ZH_0165,评分越高随机获得的奖励就越好,,14,42,d.java:1393
JAVA_ZH_0166,获得：,,3,9,d.java:1484
JAVA_ZH_0167,已经打造,,4,12,d.java:1629
JAVA_ZH_0168,金钱不足,,4,12,d.java:1638; d.java:1655; d.java:1676; d.java:1712
JAVA_ZH_0169,打造成功,,4,12,d.java:1642; d.java:1659; d.java:1680
JAVA_ZH_0170,材料不足,,4,12,d.java:1647; d.java:1668; d.java:1685; d.java:1694; d.java:1703
JAVA_ZH_0171,升级成功,,4,12,d.java:1718
JAVA_ZH_0172,等级已满,,4,12,d.java:1722
JAVA_ZH_0173,已经满级,,4,12,d.java:1790
JAVA_ZH_0174,当前场景不能保存。,,9,27,d.java:1871
JAVA_ZH_0175,是否返回主菜单？,,8,24,d.java:1900
JAVA_ZH_0176,新手,,2,6,d.java:1944
JAVA_ZH_0177,物品未就绪,,5,15,d.java:2068; w.java:255
JAVA_ZH_0178,是否使用,,4,12,d.java:2076
JAVA_ZH_0179,请到宠物界面使用,,8,24,d.java:2082
JAVA_ZH_0180,是否装备,是否Trang bị,4,12,d.java:2278; d.java:2801
JAVA_ZH_0181,已经装备,已经Trang bị,4,12,d.java:2283
JAVA_ZH_0182,技能点不够，还需要,,9,27,d.java:2550
JAVA_ZH_0183,个技能点。,,5,15,d.java:2550
JAVA_ZH_0184,已到顶级！,,5,15,d.java:2557
JAVA_ZH_0185,升级成功！,,5,15,d.java:2561
JAVA_ZH_0186,主线任务不能放弃,,8,24,d.java:2647
JAVA_ZH_0187,放弃该任务？,,6,18,d.java:2653
JAVA_ZH_0188,尚未获得此称号,尚未获得此Danh hiệu,7,21,d.java:2805
JAVA_ZH_0189,未获得,,3,9,d.java:2837
JAVA_ZH_0190,(装),,3,5,d.java:2840
JAVA_ZH_0191,& 当前完成,,6,14,d.java:2849
JAVA_ZH_0192,未知,,2,6,d.java:2857
JAVA_ZH_0193,存档读取错误！,,7,21,d.java:3012
JAVA_ZH_0194,是否读取存档？,,7,21,d.java:3040
JAVA_ZH_0195,保存成功！,,5,15,d.java:3191; d.java:3217; d.java:3218
JAVA_ZH_0196,保存时出现错误！,,8,24,d.java:3195; d.java:3220
JAVA_ZH_0197,是否覆盖记录？,,7,21,d.java:3238
JAVA_ZH_0198,是否保存游戏？,,7,21,d.java:3240
JAVA_ZH_0199,买入,,2,6,d.java:3272
JAVA_ZH_0200,卖出,,2,6,d.java:3272
JAVA_ZH_0201,道 具,,3,7,d.java:3279
JAVA_ZH_0202,任务物品,,4,12,d.java:3279
JAVA_ZH_0203,使用,,2,6,d.java:3280; d.java:3281; d.java:3282; d.java:3283
JAVA_ZH_0204,快捷,,2,6,d.java:3280
JAVA_ZH_0205,丢弃,,2,6,d.java:3280; d.java:3281; d.java:3282; d.java:3283; d.java:3284
JAVA_ZH_0206,合并,,2,6,d.java:3281; d.java:3283
JAVA_ZH_0207,登录,Đăng nhập,2,6,d.java:3281
JAVA_ZH_0208,详细,,2,6,d.java:3281; d.java:3282; d.java:3283; d.java:3284
JAVA_ZH_0209,拳挑起,Khâu Quyền,3,9,e.java:3; e.java:3
JAVA_ZH_0210,熊咆哮,Hùng Gầm,3,9,e.java:3; e.java:3
JAVA_ZH_0211,暗黑之光,Ám Hắc Quang,4,12,e.java:3; e.java:3
JAVA_ZH_0212,一闪·破,Nhất Kiếm Phá,4,11,e.java:3; e.java:3
JAVA_ZH_0213,耐性,Sức Bền,2,6,e.java:3; e.java:3
JAVA_ZH_0214,魔力,Ma Lực,2,6,e.java:3; e.java:3
JAVA_ZH_0215,会心,Chí Mạng,2,6,e.java:3; e.java:3
JAVA_ZH_0216,忍耐,Chống Chịu,2,6,e.java:3; e.java:3
JAVA_ZH_0217,奋力的用拳对前方的地面发动猛烈震击，能将敌人挑起在半空中。,"Dùng hết sức đấm mạnh xuống đất phía trước, hất tung kẻ địch lên không trung.",29,87,e.java:7
JAVA_ZH_0218,聚剑气、拳道于一体发动熊咆哮，震飞附近的所有敌人并造成大量伤害。,"Tụ kiếm khí và quyền đạo phát động gấu gầm rống, hất văng mọi kẻ địch xung quanh và gây sát thương lớn.",32,96,e.java:8
JAVA_ZH_0219,聚集全身的剑气发动黑暗攻击，对附近大范围的敌人造成大量伤害。,"Tụ toàn bộ kiếm khí phát động đòn tấn công bóng tối, gây sát thương lớn trên diện rộng xung quanh.",30,90,e.java:9
JAVA_ZH_0220,成功防御敌人攻击，将怒气化形，以极速斩出一剑，造成普通攻击多倍以上伤害。,"Phòng thủ thành công đòn địch, hóa nộ khí thành kiếm, chém ra tốc độ cực nhanh, gây sát thương gấp nhiều lần.",36,108,e.java:10
JAVA_ZH_0221,通过提升自己的力量，强化身体，增加生命最大值和基础攻击力。,"Nâng cao sức mạnh bản thân, cường hóa cơ thể, tăng sinh lực tối đa và lực tấn công cơ bản.",29,87,e.java:11
JAVA_ZH_0222,通过提升自己的精神力量，增加魔力最大值。,"Nâng cao sức mạnh tinh thần bản thân, tăng ma lực tối đa.",20,60,e.java:12
JAVA_ZH_0223,通过提高自己的剑术，增加暴击概率。,"Nâng cao kiếm thuật bản thân, tăng tỷ lệ chí mạng.",17,51,e.java:13
JAVA_ZH_0224,通过提升自己的斗气，增加吸收伤害的能力。,"Nâng cao đấu khí bản thân, tăng khả năng hấp thụ sát thương.",20,60,e.java:14
